product_sku,"inventory (March 21, 2021)"
M80-BTY-ASH-L,93
M80-BTY-BLK-L,195
M80-BTY-ASH-S,87
M80-BTY-BLK-S,202
EFX-365-BLK,1
M80-AP-BLK,6
M80-AD-BLK,84
M80-EB-BLK,49
M80-PB1-BLK,6
M80-UC-BLK,29
M80-2A-BLK,89
M80-2B-BLK,63
M80-2G-BLK,233
M80-EG-BLK,180
EFX-FAD-BLK,6
EFX-FAD-GRY,0
M80-FLY-ULT-BLK,234
EFX-FLY-BLK,92
M80-JA-BLK,60
EFX-KON-BLK,0
EFX-KLR-BLK,7
M80-AC-BLK,35
M80-PB3-BLK,48
EFX-PDR-BLK,1
M80-UT-BLK,34
M80-TICK-V2-BLK,148
M80-TICK-V2-GRY,61
M80-TK1-BLK,5
M80-TK1-GRY,23
M80-PB2-BLK,3
M80-CLUB-V2-BLK,12
M80-CY22-ASH,49
M80-CY22-BLK,48
M80-CY24-ASH,13
M80-CY24-BLK,11
CVL-DCW-ASH,3
CVL-DCW-BLK,4
M80-DLT-WHT,13
M80-DLT-BRN,4
M80-DLT-GRY,63
M80-DLT-BLK,172
M80-DP-BLK,28
CVL-XPK-BLK,3
CVL-LPD-ASH,104
CVL-LPD-BLK,138
CVL-LPD-WHT,121
CVL-LLT-13-ASH,55
CVL-LLT-13-BLK,180
CVL-LLT-13-WHT,235
CVL-LLT-15-ASH,207
CVL-LLT-15-BLK,285
CVL-LLT-15-WHT,204
CVL-LLT-17-BLK,456
CVL-LLT-17-WHT,258
M80-TT-BLK,211
CVL-PPW-WHT,393
CVL-PPW-BLK,11
PFX-PB-L-BLK,40
PFX-PB-L-SLV,7
PFX-PB-M-BLK,53
PFX-PB-M-SLV,41
PFX-PB-S-BLK,46
PFX-PB-S-SLV,17
PFX-PB-LT-BLK,34
PFX-PB-LT-SLV,39
PFX-PB-LP-BLK,21
PFX-PB-LP-SLV,114
PFX-PB-ACC-KIT,66
PFX-PB-S-BLK-BDL,0
PFX-PB-S-SLV-BDL,18
PFX-PB-S-BLK,46
PFX-PB-S-SLV,17
PFX-PB-L-BLK-BDL,-17
PFX-PB-L-SLV-BDL,39
PFX-PB-L-BLK,40
PFX-PB-L-SLV,7
PFX-PB-M-BLK-BDL,-20
PFX-PB-M-SLV-BDL,-23
PFX-PB-M-BLK,53
PFX-PB-M-SLV,41
PFX-PBC-S-SLV-BDL,45
PFX-PBC-L-SLV-BDL,10
PFX-PBC-M-SLV-BDL,25
PFX-PB-R-BLK,48
PFX-PB-R-SLV,85
PFX-PB-RP-BLK,1
PFX-PB-RP-SLV,95
M80-PRO-V2-BLK,92
M80-SS-BLK,134
M80-SAD-ASH,25
M80-SAD-BLK,38
M80-SEB-ASH,45
M80-SEB-BLK,-6
M80-SEG-ASH,24
M80-SEG-BLK,42
M80-SN-BLK,22
M80-STAB-BLK,44
M80-STEB-BLK,96
M80-STEG-BLK,46
M80-STRM-BLK,43
WCS-L-BLK,30
WCS-M-BLK,90
WCS-S-BLK,3
PFX-SMS-BLK,38
PFX-SMS-SLV,59
M80-ST-ASH,62
M80-ST-BLK,60
M80-TOUR-V2-BLK,94
M80-VAD-BLK,50
M80-VEB-BLK,105
M80-VEB-GRY,-6
M80-VUC-BLK,72
M80-VEG-BLK,263
M80-VEG-CAM,25
M80-VEG-GRY,65
M80-K61-BLK,21
M80-VHB-BLK,40
M80-VUT-BLK,32
M80-WAR-BLK,97
M80-WAR-GRY,92
SRB-S-BLK,170
TEAR-AID,126
TEX-BLK,36
ZP2-L-BLK,4
ZP1-L-BLK,4
ZP1-S-BLK,10